,시군구,읍면동/구,lat,long,total_score
0,울릉군,북면,37.54075,130.8746,6938.929702050262
1,울릉군,서면,37.467715,130.8381207,6890.490890023418
2,울릉군,울릉읍,37.4850007,130.9036819,7201.804901801712
3,울진군,매화면,36.913207,129.382225,83723.04538499811
4,울진군,금강송면,36.935585,129.247175,105139.54901547625
5,울진군,후포면,36.678567,129.4393218,97507.76437311195
6,울진군,죽변면,37.05975,129.422237,61432.37144571938
7,울진군,온정면,36.724043,129.345338,120712.48673679058
8,울진군,기성면,36.798192,129.451425,85199.88201427001
9,울진군,근남면,36.9627893,129.394463,80037.1723571329
10,울진군,북면,37.104899,129.373088,58977.16189237509
11,울진군,평해읍,36.7280587,129.441347,99608.84560337373
12,울진군,울진읍,36.9972037,129.4029773,75292.07931736963
13,봉화군,석포면,37.0486623,129.0651481,145906.43294576032
14,봉화군,상운면,36.833815,128.755175,450417.88389936613
15,봉화군,명호면,36.8588071,128.899957,399340.08780043945
16,봉화군,재산면,36.8160147,128.9618418,405061.61961307866
17,봉화군,소천면,36.9377006,129.0030884,356697.50655695767
18,봉화군,춘양면,36.935118,128.914875,370287.00891330617
19,봉화군,법전면,36.910752,128.8769326,375024.3235926509
20,봉화군,봉성면,36.885924,128.81805,412837.0818737001
21,봉화군,물야면,36.9751835,128.7358042,374212.68359578983
22,봉화군,봉화읍,36.8876904,128.7395875,421468.29690805014
23,예천군,은풍면,36.7451086,128.4431143,526828.2453140586
24,예천군,효자면,36.771367,128.41885,519617.8674707896
25,예천군,풍양면,36.510592,128.299013,969447.7707059114
26,예천군,지보면,36.548308,128.39035,958527.809032934
27,예천군,개포면,36.608407,128.366463,756995.109453624
28,예천군,용궁면,36.6086838,128.2773486,724463.0678795847
29,예천군,유천면,36.635407,128.390063,697504.642246333
30,예천군,호명면,36.594474,128.468513,830628.5574555475
31,예천군,보문면,36.6652881,128.5109206,612377.4337161067
32,예천군,감천면,36.72116,128.526425,558638.5569812639
33,예천군,용문면,36.690218,128.411013,579729.3560330826
34,예천군,예천읍,36.6568604,128.4527844,605443.2955801642
35,칠곡군,기산면,35.9863749,128.382786,1512322.5819058388
36,칠곡군,약목면,36.03275,128.363738,1476278.7117806075
37,칠곡군,가산면,36.0859638,128.5389087,1639709.2390342497
